[10/Jun/2014:17:53:10:000 +0000]|200.19.190.152|10.62.204.42|/Benchmarks/MultiplicaMatrizServlet|0|200.19.190.152|0
[10/Jun/2014:17:55:14:023 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2|10.102.12.52|220
[10/Jun/2014:17:55:15:024 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3|10.102.12.52|220
[10/Jun/2014:17:55:15:025 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3|10.102.12.52|220
[10/Jun/2014:17:55:16:026 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|50|10.102.12.52|221
[10/Jun/2014:17:55:16:027 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|6|10.102.12.52|220
[10/Jun/2014:17:55:17:028 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|14|10.102.12.52|221
[10/Jun/2014:17:55:17:029 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|4|10.102.12.52|220
[10/Jun/2014:17:55:18:030 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3|10.102.12.52|220
[10/Jun/2014:17:55:18:031 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|4|10.102.12.52|220
[10/Jun/2014:17:55:19:032 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|25|10.102.12.52|221
[10/Jun/2014:17:55:19:033 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|35|10.102.12.52|221
[10/Jun/2014:17:55:20:034 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|9|10.102.12.52|220
[10/Jun/2014:17:55:20:035 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|4|10.102.12.52|220
[10/Jun/2014:17:55:21:036 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3|10.102.12.52|220
[10/Jun/2014:17:55:21:037 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|53|10.102.12.52|221
[10/Jun/2014:17:55:21:038 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|74|10.102.12.52|221
[10/Jun/2014:17:55:22:039 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|99|10.102.12.52|221
[10/Jun/2014:17:55:22:040 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|129|10.102.12.52|222
[10/Jun/2014:17:55:23:041 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|645|10.102.12.52|222
[10/Jun/2014:17:55:23:042 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|681|10.102.12.52|222
[10/Jun/2014:17:55:23:043 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|145|10.102.12.52|222
[10/Jun/2014:17:55:23:044 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|216|10.102.12.52|222
[10/Jun/2014:17:55:23:045 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|275|10.102.12.52|222
[10/Jun/2014:17:55:24:046 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|323|10.102.12.52|222
[10/Jun/2014:17:55:24:047 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|989|10.102.12.52|222
[10/Jun/2014:17:55:25:048 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|469|10.102.12.52|222
[10/Jun/2014:17:55:25:049 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|1241|10.102.12.52|223
[10/Jun/2014:17:55:25:050 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|1260|10.102.12.52|223
[10/Jun/2014:17:55:25:051 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|1909|10.102.12.52|223
[10/Jun/2014:17:55:27:052 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|657|10.102.12.52|222
[10/Jun/2014:17:55:27:053 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2355|10.102.12.52|223
[10/Jun/2014:17:55:28:054 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2137|10.102.12.52|223
[10/Jun/2014:17:55:28:055 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|162|10.102.12.52|222
[10/Jun/2014:17:55:28:056 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2347|10.102.12.52|223
[10/Jun/2014:17:55:28:057 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|261|10.102.12.52|222
[10/Jun/2014:17:55:28:058 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|308|10.102.12.52|222
[10/Jun/2014:17:55:28:059 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2463|10.102.12.52|223
[10/Jun/2014:17:55:28:060 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|339|10.102.12.52|222
[10/Jun/2014:17:55:28:061 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|359|10.102.12.52|222
[10/Jun/2014:17:55:28:062 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2504|10.102.12.52|223
[10/Jun/2014:17:55:28:063 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|19|10.102.12.52|221
[10/Jun/2014:17:55:28:064 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|30|10.102.12.52|221
[10/Jun/2014:17:55:31:065 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3446|10.102.12.52|223
[10/Jun/2014:17:56:09:066 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|4|10.102.12.52|220
[10/Jun/2014:17:56:09:067 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|63|10.102.12.52|221
[10/Jun/2014:17:56:10:068 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|33|10.102.12.52|221
[10/Jun/2014:17:56:10:069 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|120|10.102.12.52|222
[10/Jun/2014:17:56:10:070 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|158|10.102.12.52|222
[10/Jun/2014:17:56:11:071 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|37|10.102.12.52|221
[10/Jun/2014:17:56:11:072 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|137|10.102.12.52|222
[10/Jun/2014:17:56:11:073 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|749|10.102.12.52|222
[10/Jun/2014:17:56:11:074 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|209|10.102.12.52|222
[10/Jun/2014:17:56:12:075 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|509|10.102.12.52|222
[10/Jun/2014:17:56:12:076 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|24|10.102.12.52|221
[10/Jun/2014:17:56:13:077 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|563|10.102.12.52|222
[10/Jun/2014:17:56:14:078 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|466|10.102.12.52|222
[10/Jun/2014:17:56:14:079 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|514|10.102.12.52|222
[10/Jun/2014:17:56:14:080 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|554|10.102.12.52|222
[10/Jun/2014:17:56:14:081 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|592|10.102.12.52|222
[10/Jun/2014:17:56:15:082 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2780|10.102.12.52|223
[10/Jun/2014:17:56:15:083 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|836|10.102.12.52|222
[10/Jun/2014:17:56:15:084 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|885|10.102.12.52|222
[10/Jun/2014:17:56:15:085 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2931|10.102.12.52|223
[10/Jun/2014:17:56:15:086 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|973|10.102.12.52|222
[10/Jun/2014:17:56:18:087 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|953|10.102.12.52|222
[10/Jun/2014:17:56:18:088 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|1005|10.102.12.52|223
[10/Jun/2014:17:56:18:089 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|1075|10.102.12.52|223
[10/Jun/2014:17:56:18:090 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|1147|10.102.12.52|223
[10/Jun/2014:17:56:19:091 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|700|10.102.12.52|222
[10/Jun/2014:17:56:19:092 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3266|10.102.12.52|223
[10/Jun/2014:17:56:19:093 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3338|10.102.12.52|223
[10/Jun/2014:17:56:19:094 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3408|10.102.12.52|223
[10/Jun/2014:17:56:20:095 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|97|10.102.12.52|221
[10/Jun/2014:17:56:20:096 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|5331|10.102.12.52|223
[10/Jun/2014:17:56:20:097 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|4193|10.102.12.52|223
[10/Jun/2014:17:56:20:098 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|1730|10.102.12.52|223
[10/Jun/2014:17:56:20:099 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|1801|10.102.12.52|223
[10/Jun/2014:17:56:20:100 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|1834|10.102.12.52|223
[10/Jun/2014:17:56:20:101 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|1849|10.102.12.52|223
[10/Jun/2014:17:56:20:102 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3173|10.102.12.52|223
[10/Jun/2014:17:56:24:103 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|4034|10.102.12.52|223
[10/Jun/2014:17:56:24:104 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|4328|10.102.12.52|223
[10/Jun/2014:17:56:24:105 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|166|10.102.12.52|222
[10/Jun/2014:17:56:24:106 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|249|10.102.12.52|222
[10/Jun/2014:17:56:24:107 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|4740|10.102.12.52|223
[10/Jun/2014:17:56:24:108 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|344|10.102.12.52|222
[10/Jun/2014:17:56:24:109 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|5583|10.102.12.52|223
[10/Jun/2014:17:56:24:110 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|397|10.102.12.52|222
[10/Jun/2014:17:56:24:111 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|414|10.102.12.52|222
[10/Jun/2014:17:56:24:112 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|436|10.102.12.52|222
[10/Jun/2014:17:56:24:113 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|4944|10.102.12.52|223
[10/Jun/2014:17:56:24:114 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|5863|10.102.12.52|223
[10/Jun/2014:17:56:25:115 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|6664|10.102.12.52|223
[10/Jun/2014:17:56:25:116 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|6681|10.102.12.52|223
[10/Jun/2014:17:56:25:117 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|19|10.102.12.52|221
[10/Jun/2014:17:56:25:118 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|23|10.102.12.52|221
[10/Jun/2014:17:56:25:119 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|19|10.102.12.52|221
[10/Jun/2014:17:56:28:120 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|164|10.102.12.52|222
[10/Jun/2014:17:56:31:121 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|4991|10.102.12.52|223
[10/Jun/2014:17:56:31:122 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2523|10.102.12.52|223
[10/Jun/2014:17:56:32:123 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3596|10.102.12.52|223
[10/Jun/2014:17:56:32:124 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3616|10.102.12.52|223
[10/Jun/2014:17:56:32:125 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3668|10.102.12.52|223
[10/Jun/2014:17:56:32:126 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3695|10.102.12.52|223
[10/Jun/2014:17:56:32:127 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3733|10.102.12.52|223
[10/Jun/2014:17:56:32:128 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3769|10.102.12.52|223
[10/Jun/2014:17:56:32:129 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3813|10.102.12.52|223
[10/Jun/2014:17:56:32:130 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3872|10.102.12.52|223
[10/Jun/2014:17:56:32:131 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|6236|10.102.12.52|223
[10/Jun/2014:17:56:32:132 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|6264|10.102.12.52|223
[10/Jun/2014:17:56:32:133 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|7732|10.102.12.52|223
[10/Jun/2014:17:56:32:134 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|7772|10.102.12.52|223
[10/Jun/2014:17:56:32:135 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|32|10.102.12.52|221
[10/Jun/2014:17:56:32:136 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|30|10.102.12.52|221
[10/Jun/2014:17:56:32:137 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|16|10.102.12.52|221
[10/Jun/2014:17:56:32:138 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|15|10.102.12.52|221
[10/Jun/2014:17:56:32:139 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|7|10.102.12.52|220
[10/Jun/2014:17:56:32:140 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2|10.102.12.52|220
[10/Jun/2014:17:56:32:141 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|7882|10.102.12.52|223
[10/Jun/2014:17:56:32:142 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|7899|10.102.12.52|223
[10/Jun/2014:17:56:32:143 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|7915|10.102.12.52|223
[10/Jun/2014:17:56:32:144 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|406|10.102.12.52|221
[10/Jun/2014:17:56:32:145 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|338|10.102.12.52|221
[10/Jun/2014:17:56:38:146 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|6301|10.102.12.52|223
[10/Jun/2014:17:56:39:147 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|14063|10.102.12.52|224
[10/Jun/2014:17:56:39:148 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3317|10.102.12.52|223
[10/Jun/2014:17:56:39:149 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3366|10.102.12.52|223
[10/Jun/2014:17:56:39:150 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3414|10.102.12.52|223
[10/Jun/2014:17:56:39:151 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3441|10.102.12.52|223
[10/Jun/2014:17:56:39:152 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3465|10.102.12.52|223
[10/Jun/2014:17:56:44:153 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|13612|10.102.12.52|224
[10/Jun/2014:17:56:44:154 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|13675|10.102.12.52|224
[10/Jun/2014:17:56:44:155 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|19984|10.102.12.52|224
[10/Jun/2014:17:56:45:156 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|9606|10.102.12.52|223
[10/Jun/2014:17:56:45:157 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|12958|10.102.12.52|224
[10/Jun/2014:17:56:45:158 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|13029|10.102.12.52|224
[10/Jun/2014:17:56:46:159 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|13862|10.102.12.52|224
[10/Jun/2014:17:56:46:160 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|13871|10.102.12.52|224
[10/Jun/2014:17:56:46:161 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|21965|10.102.12.52|224
[10/Jun/2014:17:56:46:162 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|22018|10.102.12.52|224
[10/Jun/2014:17:56:47:163 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|22459|10.102.12.52|224
[10/Jun/2014:17:56:46:164 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|22021|10.102.12.52|224
[10/Jun/2014:17:56:47:165 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|15017|10.102.12.52|224
[10/Jun/2014:17:57:23:166 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|3|10.102.12.52|220
[10/Jun/2014:17:57:23:167 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|58|10.102.12.52|221
[10/Jun/2014:17:57:24:168 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|53|10.102.12.52|221
[10/Jun/2014:17:57:24:169 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|49|10.102.12.52|221
[10/Jun/2014:17:57:24:170 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|513|10.102.12.52|222
[10/Jun/2014:17:57:24:171 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|37|10.102.12.52|221
[10/Jun/2014:17:57:26:172 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|33|10.102.12.52|221
[10/Jun/2014:17:57:26:173 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|16|10.102.12.52|221
[10/Jun/2014:17:57:26:174 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|16|10.102.12.52|221
[10/Jun/2014:17:57:26:175 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|20|10.102.12.52|221
[10/Jun/2014:17:57:27:176 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|573|10.102.12.52|222
[10/Jun/2014:17:57:27:177 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|652|10.102.12.52|222
[10/Jun/2014:17:57:27:178 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|840|10.102.12.52|222
[10/Jun/2014:17:57:27:179 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|37|10.102.12.52|221
[10/Jun/2014:17:57:28:180 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|989|10.102.12.52|222
[10/Jun/2014:17:57:28:181 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|986|10.102.12.52|222
[10/Jun/2014:17:57:29:182 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|656|10.102.12.52|222
[10/Jun/2014:17:57:29:183 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|1584|10.102.12.52|223
[10/Jun/2014:17:57:29:184 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|1652|10.102.12.52|223
[10/Jun/2014:17:57:30:185 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|1883|10.102.12.52|223
[10/Jun/2014:17:57:30:186 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|2652|10.102.12.52|223
[10/Jun/2014:17:57:30:187 +0000]|10.102.12.52|127.0.1.1|/Benchmarks/MultiplicaMatrizServlet|8|10.102.12.52|220
